date,ra,case_cnt
2020-03-11,gama,1
2020-03-11,lago_norte,2
2020-03-11,paranoa,1
2020-03-11,park_way,1
2020-03-11,plano_piloto,7
2020-03-11,recanto_das_emas,1
2020-03-11,samambaia,1
2020-03-11,sudoeste_octogonal,2
2020-03-11,aguas_claras,3
2020-03-12,guara,1
2020-03-12,jardim_botanico,1
2020-03-12,lago_sul,8
2020-03-12,outros_estados,1
2020-03-12,plano_piloto,6
2020-03-12,santa_maria,1
2020-03-12,sao_sebastiao,2
2020-03-12,taguatinga,2
2020-03-12,aguas_claras,3
2020-03-13,brazlandia,1
2020-03-13,ceilandia,2
2020-03-13,cruzeiro,1
2020-03-13,gama,1
2020-03-13,guara,3
2020-03-13,jardim_botanico,3
2020-03-13,lago_sul,4
2020-03-13,outros_estados,3
2020-03-13,planaltina,1
2020-03-13,plano_piloto,6
2020-03-13,recanto_das_emas,1
2020-03-13,riacho_fundo,1
2020-03-13,sobradinho,1
2020-03-13,sudoeste_octogonal,2
2020-03-13,taguatinga,2
2020-03-13,aguas_claras,2
2020-03-14,ceilandia,3
2020-03-14,guara,2
2020-03-14,jardim_botanico,2
2020-03-14,lago_norte,2
2020-03-14,lago_sul,4
2020-03-14,nucleo_bandeirante,1
2020-03-14,outros_estados,1
2020-03-14,planaltina,1
2020-03-14,plano_piloto,9
2020-03-14,riacho_fundo,1
2020-03-14,samambaia,1
2020-03-14,santa_maria,1
2020-03-14,sudoeste_octogonal,2
2020-03-14,aguas_claras,4
2020-03-15,ceilandia,4
2020-03-15,gama,1
2020-03-15,guara,5
2020-03-15,lago_sul,1
2020-03-15,outros_estados,3
2020-03-15,paranoa,2
2020-03-15,planaltina,1
2020-03-15,plano_piloto,12
2020-03-15,samambaia,2
2020-03-15,sobradinho,2
2020-03-15,sudoeste_octogonal,2
2020-03-15,sao_sebastiao,1
2020-03-15,taguatinga,1
2020-03-15,aguas_claras,7
2020-03-16,arniqueira,1
2020-03-16,candangolandia,1
2020-03-16,ceilandia,1
2020-03-16,cruzeiro,2
2020-03-16,gama,2
2020-03-16,guara,9
2020-03-16,jardim_botanico,3
2020-03-16,lago_norte,4
2020-03-16,lago_sul,9
2020-03-16,outros_estados,5
2020-03-16,paranoa,1
2020-03-16,planaltina,1
2020-03-16,plano_piloto,21
2020-03-16,riacho_fundo,1
2020-03-16,samambaia,2
2020-03-16,santa_maria,1
2020-03-16,sobradinho,2
2020-03-16,sobradinho_ii,1
2020-03-16,sudoeste_octogonal,3
2020-03-16,sao_sebastiao,1
2020-03-16,taguatinga,7
2020-03-16,vicente_pires,4
2020-03-16,aguas_claras,2
2020-03-17,ceilandia,2
2020-03-17,cruzeiro,2
2020-03-17,gama,2
2020-03-17,guara,5
2020-03-17,itapoa,1
2020-03-17,jardim_botanico,3
2020-03-17,lago_norte,1
2020-03-17,lago_sul,6
2020-03-17,nucleo_bandeirante,1
2020-03-17,outros_estados,3
2020-03-17,park_way,1
2020-03-17,plano_piloto,18
2020-03-17,riacho_fundo,2
2020-03-17,samambaia,1
2020-03-17,sobradinho,2
2020-03-17,sudoeste_octogonal,3
2020-03-17,sao_sebastiao,1
2020-03-17,taguatinga,2
2020-03-17,vicente_pires,2
2020-03-17,aguas_claras,9
2020-03-18,ceilandia,2
2020-03-18,cruzeiro,1
2020-03-18,gama,2
2020-03-18,guara,3
2020-03-18,lago_norte,1
2020-03-18,lago_sul,9
2020-03-18,outros_estados,2
2020-03-18,park_way,2
2020-03-18,planaltina,2
2020-03-18,plano_piloto,11
2020-03-18,recanto_das_emas,1
2020-03-18,samambaia,3
2020-03-18,santa_maria,1
2020-03-18,sobradinho,5
2020-03-18,sobradinho_ii,1
2020-03-18,sudoeste_octogonal,4
2020-03-18,sao_sebastiao,1
2020-03-18,taguatinga,1
2020-03-18,vicente_pires,1
2020-03-18,aguas_claras,8
2020-03-19,brazlandia,1
2020-03-19,candangolandia,1
2020-03-19,ceilandia,3
2020-03-19,cruzeiro,1
2020-03-19,gama,3
2020-03-19,guara,5
2020-03-19,itapoa,1
2020-03-19,jardim_botanico,1
2020-03-19,lago_norte,1
2020-03-19,lago_sul,5
2020-03-19,outros_estados,8
2020-03-19,park_way,2
2020-03-19,plano_piloto,10
2020-03-19,samambaia,1
2020-03-19,santa_maria,1
2020-03-19,sobradinho,2
2020-03-19,sudoeste_octogonal,6
2020-03-19,taguatinga,1
2020-03-19,vicente_pires,1
2020-03-19,aguas_claras,8
2020-03-20,brazlandia,1
2020-03-20,ceilandia,6
2020-03-20,gama,7
2020-03-20,guara,3
2020-03-20,lago_norte,1
2020-03-20,lago_sul,4
2020-03-20,nucleo_bandeirante,1
2020-03-20,outros_estados,4
2020-03-20,paranoa,1
2020-03-20,park_way,1
2020-03-20,planaltina,2
2020-03-20,plano_piloto,17
2020-03-20,recanto_das_emas,1
2020-03-20,samambaia,4
2020-03-20,santa_maria,2
2020-03-20,sobradinho,3
2020-03-20,sudoeste_octogonal,3
2020-03-20,taguatinga,3
2020-03-20,varjao,1
2020-03-20,vicente_pires,1
2020-03-20,aguas_claras,8
2020-03-21,ceilandia,1
2020-03-21,cruzeiro,1
2020-03-21,gama,3
2020-03-21,itapoa,1
2020-03-21,lago_norte,2
2020-03-21,lago_sul,1
2020-03-21,nucleo_bandeirante,1
2020-03-21,outros_estados,3
2020-03-21,paranoa,2
2020-03-21,park_way,2
2020-03-21,planaltina,1
2020-03-21,plano_piloto,12
2020-03-21,samambaia,1
2020-03-21,santa_maria,1
2020-03-21,sobradinho,5
2020-03-21,sobradinho_ii,1
2020-03-21,sudoeste_octogonal,5
2020-03-21,taguatinga,3
2020-03-21,vicente_pires,1
2020-03-21,aguas_claras,2
2020-03-22,ceilandia,2
2020-03-22,cruzeiro,1
2020-03-22,gama,1
2020-03-22,guara,1
2020-03-22,lago_norte,3
2020-03-22,lago_sul,6
2020-03-22,paranoa,2
2020-03-22,park_way,1
2020-03-22,planaltina,1
2020-03-22,plano_piloto,7
2020-03-22,samambaia,4
2020-03-22,sobradinho,1
2020-03-22,sobradinho_ii,1
2020-03-22,sudoeste_octogonal,3
2020-03-22,sao_sebastiao,1
2020-03-22,taguatinga,3
2020-03-22,vicente_pires,2
2020-03-22,aguas_claras,4
2020-03-23,arniqueira,1
2020-03-23,ceilandia,2
2020-03-23,gama,2
2020-03-23,guara,2
2020-03-23,lago_norte,1
2020-03-23,lago_sul,3
2020-03-23,outros_estados,2
2020-03-23,paranoa,1
2020-03-23,park_way,1
2020-03-23,planaltina,2
2020-03-23,plano_piloto,12
2020-03-23,recanto_das_emas,1
2020-03-23,samambaia,2
2020-03-23,santa_maria,1
2020-03-23,sobradinho,3
2020-03-23,sudoeste_octogonal,4
2020-03-23,taguatinga,1
2020-03-23,vicente_pires,2
2020-03-23,aguas_claras,8
2020-03-24,ceilandia,3
2020-03-24,guara,2
2020-03-24,lago_sul,4
2020-03-24,nucleo_bandeirante,2
2020-03-24,park_way,1
2020-03-24,planaltina,1
2020-03-24,plano_piloto,10
2020-03-24,samambaia,3
2020-03-24,santa_maria,3
2020-03-24,sobradinho,1
2020-03-24,sobradinho_ii,2
2020-03-24,sudoeste_octogonal,2
2020-03-24,sao_sebastiao,2
2020-03-24,taguatinga,3
2020-03-24,vicente_pires,2
2020-03-24,aguas_claras,5
2020-03-25,ceilandia,2
2020-03-25,gama,1
2020-03-25,guara,3
2020-03-25,lago_norte,1
2020-03-25,lago_sul,2
2020-03-25,outros_estados,2
2020-03-25,paranoa,1
2020-03-25,planaltina,1
2020-03-25,plano_piloto,8
2020-03-25,por_do_sol,1
2020-03-25,riacho_fundo_ii,1
2020-03-25,samambaia,2
2020-03-25,santa_maria,2
2020-03-25,sudoeste_octogonal,2
2020-03-25,taguatinga,2
2020-03-25,vicente_pires,1
2020-03-25,aguas_claras,4
2020-03-26,brazlandia,1
2020-03-26,ceilandia,2
2020-03-26,gama,2
2020-03-26,guara,2
2020-03-26,jardim_botanico,1
2020-03-26,lago_norte,2
2020-03-26,lago_sul,3
2020-03-26,outros_estados,3
2020-03-26,plano_piloto,12
2020-03-26,sudoeste_octogonal,3
2020-03-26,taguatinga,6
2020-03-26,vicente_pires,1
2020-03-26,aguas_claras,6
2020-03-27,ceilandia,4
2020-03-27,cruzeiro,1
2020-03-27,gama,3
2020-03-27,guara,2
2020-03-27,jardim_botanico,1
2020-03-27,lago_norte,1
2020-03-27,lago_sul,3
2020-03-27,outros_estados,2
2020-03-27,planaltina,1
2020-03-27,plano_piloto,7
2020-03-27,riacho_fundo,1
2020-03-27,samambaia,1
2020-03-27,santa_maria,1
2020-03-27,sobradinho,3
2020-03-27,sudoeste_octogonal,1
2020-03-27,taguatinga,3
2020-03-27,vicente_pires,4
2020-03-27,aguas_claras,1
2020-03-28,arniqueira,1
2020-03-28,ceilandia,4
2020-03-28,cruzeiro,1
2020-03-28,gama,1
2020-03-28,nucleo_bandeirante,1
2020-03-28,outros_estados,1
2020-03-28,paranoa,2
2020-03-28,plano_piloto,6
2020-03-28,recanto_das_emas,2
2020-03-28,scia,1
2020-03-28,samambaia,1
2020-03-28,sobradinho,1
2020-03-28,sudoeste_octogonal,3
2020-03-28,taguatinga,6
2020-03-28,vicente_pires,1
2020-03-28,aguas_claras,2
2020-03-29,brazlandia,1
2020-03-29,candangolandia,1
2020-03-29,ceilandia,5
2020-03-29,cruzeiro,1
2020-03-29,gama,1
2020-03-29,guara,2
2020-03-29,jardim_botanico,1
2020-03-29,lago_sul,1
2020-03-29,outros_estados,3
2020-03-29,planaltina,1
2020-03-29,plano_piloto,4
2020-03-29,por_do_sol,1
2020-03-29,samambaia,2
2020-03-29,santa_maria,1
2020-03-29,sobradinho,2
2020-03-29,sao_sebastiao,1
2020-03-29,taguatinga,4
2020-03-29,vicente_pires,2
2020-03-29,aguas_claras,2
2020-03-30,arniqueira,1
2020-03-30,candangolandia,1
2020-03-30,ceilandia,7
2020-03-30,gama,1
2020-03-30,guara,2
2020-03-30,itapoa,1
2020-03-30,jardim_botanico,1
2020-03-30,lago_sul,2
2020-03-30,outros_estados,4
2020-03-30,park_way,1
2020-03-30,planaltina,2
2020-03-30,plano_piloto,12
2020-03-30,riacho_fundo_ii,3
2020-03-30,santa_maria,1
2020-03-30,sobradinho,1
2020-03-30,sao_sebastiao,2
2020-03-30,taguatinga,2
2020-03-30,vicente_pires,1
2020-03-30,aguas_claras,2
2020-03-31,guara,6
2020-03-31,itapoa,1
2020-03-31,jardim_botanico,1
2020-03-31,lago_norte,1
2020-03-31,outros_estados,3
2020-03-31,paranoa,1
2020-03-31,planaltina,2
2020-03-31,plano_piloto,6
2020-03-31,riacho_fundo,1
2020-03-31,samambaia,4
2020-03-31,santa_maria,1
2020-03-31,sobradinho,1
2020-03-31,sao_sebastiao,2
2020-03-31,taguatinga,3
2020-03-31,aguas_claras,5
2020-04-01,arniqueira,1
2020-04-01,ceilandia,10
2020-04-01,gama,4
2020-04-01,guara,8
2020-04-01,lago_norte,4
2020-04-01,nucleo_bandeirante,2
2020-04-01,outros_estados,4
2020-04-01,plano_piloto,7
2020-04-01,recanto_das_emas,1
2020-04-01,riacho_fundo,2
2020-04-01,riacho_fundo_ii,1
2020-04-01,samambaia,4
2020-04-01,santa_maria,4
2020-04-01,sistema_penitenciario,1
2020-04-01,sobradinho,2
2020-04-01,sudoeste_octogonal,1
2020-04-01,sao_sebastiao,1
2020-04-01,taguatinga,3
2020-04-01,vicente_pires,3
2020-04-01,aguas_claras,7
2020-04-02,arniqueira,2
2020-04-02,ceilandia,6
2020-04-02,guara,5
2020-04-02,jardim_botanico,1
2020-04-02,lago_norte,1
2020-04-02,paranoa,1
2020-04-02,plano_piloto,5
2020-04-02,samambaia,2
2020-04-02,santa_maria,4
2020-04-02,sistema_penitenciario,2
2020-04-02,sobradinho,1
2020-04-02,sudoeste_octogonal,2
2020-04-02,sao_sebastiao,2
2020-04-02,taguatinga,7
2020-04-02,vicente_pires,1
2020-04-02,aguas_claras,4
2020-04-03,arniqueira,1
2020-04-03,ceilandia,3
2020-04-03,gama,1
2020-04-03,guara,2
2020-04-03,lago_norte,3
2020-04-03,lago_sul,2
2020-04-03,outros_estados,1
2020-04-03,paranoa,1
2020-04-03,plano_piloto,9
2020-04-03,recanto_das_emas,2
2020-04-03,samambaia,1
2020-04-03,santa_maria,3
2020-04-03,sistema_penitenciario,1
2020-04-03,sobradinho,5
2020-04-03,sudoeste_octogonal,1
2020-04-03,taguatinga,3
2020-04-03,vicente_pires,3
2020-04-03,aguas_claras,4
2020-04-04,arniqueira,1
2020-04-04,ceilandia,2
2020-04-04,gama,1
2020-04-04,jardim_botanico,1
2020-04-04,lago_norte,1
2020-04-04,lago_sul,1
2020-04-04,outros_estados,3
2020-04-04,plano_piloto,3
2020-04-04,recanto_das_emas,2
2020-04-04,riacho_fundo,1
2020-04-04,samambaia,3
2020-04-04,santa_maria,2
2020-04-04,sistema_penitenciario,3
2020-04-04,sobradinho,3
2020-04-04,sao_sebastiao,3
2020-04-04,taguatinga,5
2020-04-04,vicente_pires,2
2020-04-04,aguas_claras,4
2020-04-05,arniqueira,2
2020-04-05,brazlandia,1
2020-04-05,ceilandia,6
2020-04-05,fercal,1
2020-04-05,gama,4
2020-04-05,guara,1
2020-04-05,jardim_botanico,1
2020-04-05,lago_norte,2
2020-04-05,lago_sul,1
2020-04-05,outros_estados,3
2020-04-05,planaltina,2
2020-04-05,plano_piloto,1
2020-04-05,scia,2
2020-04-05,samambaia,2
2020-04-05,sistema_penitenciario,1
2020-04-05,sobradinho,1
2020-04-05,sudoeste_octogonal,1
2020-04-05,sao_sebastiao,1
2020-04-05,taguatinga,2
2020-04-05,aguas_claras,3
2020-04-06,brazlandia,1
2020-04-06,ceilandia,1
2020-04-06,cruzeiro,1
2020-04-06,gama,5
2020-04-06,guara,3
2020-04-06,jardim_botanico,1
2020-04-06,lago_norte,1
2020-04-06,lago_sul,2
2020-04-06,nucleo_bandeirante,2
2020-04-06,outros_estados,2
2020-04-06,park_way,1
2020-04-06,planaltina,2
2020-04-06,plano_piloto,8
2020-04-06,recanto_das_emas,2
2020-04-06,riacho_fundo,1
2020-04-06,riacho_fundo_ii,1
2020-04-06,samambaia,2
2020-04-06,santa_maria,1
2020-04-06,sistema_penitenciario,3
2020-04-06,sobradinho,3
2020-04-06,sudoeste_octogonal,2
2020-04-06,sao_sebastiao,1
2020-04-06,taguatinga,6
2020-04-06,vicente_pires,4
2020-04-06,aguas_claras,1
2020-04-07,arniqueira,1
2020-04-07,candangolandia,1
2020-04-07,ceilandia,2
2020-04-07,gama,5
2020-04-07,guara,1
2020-04-07,jardim_botanico,1
2020-04-07,lago_norte,2
2020-04-07,outros_estados,2
2020-04-07,park_way,1
2020-04-07,planaltina,1
2020-04-07,plano_piloto,3
2020-04-07,por_do_sol,1
2020-04-07,recanto_das_emas,5
2020-04-07,santa_maria,3
2020-04-07,sistema_penitenciario,2
2020-04-07,sobradinho,1
2020-04-07,sudoeste_octogonal,1
2020-04-07,sao_sebastiao,3
2020-04-07,taguatinga,3
2020-04-07,vicente_pires,2
2020-04-07,aguas_claras,2
2020-04-08,arniqueira,1
2020-04-08,brazlandia,3
2020-04-08,ceilandia,5
2020-04-08,fercal,2
2020-04-08,gama,1
2020-04-08,guara,1
2020-04-08,lago_norte,1
2020-04-08,lago_sul,2
2020-04-08,nucleo_bandeirante,1
2020-04-08,outros_estados,5
2020-04-08,paranoa,1
2020-04-08,planaltina,2
2020-04-08,plano_piloto,5
2020-04-08,por_do_sol,1
2020-04-08,riacho_fundo,1
2020-04-08,riacho_fundo_ii,1
2020-04-08,samambaia,3
2020-04-08,santa_maria,1
2020-04-08,sistema_penitenciario,2
2020-04-08,sobradinho,2
2020-04-08,sudoeste_octogonal,2
2020-04-08,sao_sebastiao,2
2020-04-08,taguatinga,3
2020-04-08,aguas_claras,8
2020-04-09,candangolandia,1
2020-04-09,ceilandia,5
2020-04-09,cruzeiro,1
2020-04-09,gama,1
2020-04-09,guara,1
2020-04-09,jardim_botanico,1
2020-04-09,nucleo_bandeirante,1
2020-04-09,outros_estados,5
2020-04-09,planaltina,2
2020-04-09,plano_piloto,8
2020-04-09,recanto_das_emas,3
2020-04-09,scia,1
2020-04-09,samambaia,5
2020-04-09,sistema_penitenciario,4
2020-04-09,sudoeste_octogonal,1
2020-04-09,sao_sebastiao,3
2020-04-09,taguatinga,5
2020-04-09,vicente_pires,1
2020-04-09,aguas_claras,4
2020-04-10,arniqueira,1
2020-04-10,brazlandia,1
2020-04-10,ceilandia,7
2020-04-10,gama,6
2020-04-10,guara,1
2020-04-10,lago_sul,1
2020-04-10,nucleo_bandeirante,2
2020-04-10,outros_estados,3
2020-04-10,paranoa,1
2020-04-10,park_way,1
2020-04-10,planaltina,1
2020-04-10,plano_piloto,5
2020-04-10,recanto_das_emas,3
2020-04-10,riacho_fundo,1
2020-04-10,scia,1
2020-04-10,samambaia,6
2020-04-10,santa_maria,2
2020-04-10,sistema_penitenciario,14
2020-04-10,sobradinho,4
2020-04-10,sudoeste_octogonal,3
2020-04-10,sao_sebastiao,4
2020-04-10,taguatinga,5
2020-04-10,vicente_pires,1
2020-04-10,aguas_claras,6
2020-04-11,brazlandia,1
2020-04-11,candangolandia,2
2020-04-11,ceilandia,4
2020-04-11,gama,6
2020-04-11,guara,4
2020-04-11,jardim_botanico,3
2020-04-11,lago_norte,1
2020-04-11,outros_estados,6
2020-04-11,paranoa,1
2020-04-11,park_way,1
2020-04-11,planaltina,1
2020-04-11,plano_piloto,8
2020-04-11,recanto_das_emas,4
2020-04-11,riacho_fundo,1
2020-04-11,scia,2
2020-04-11,santa_maria,1
2020-04-11,sistema_penitenciario,1
2020-04-11,sobradinho,1
2020-04-11,sudoeste_octogonal,3
2020-04-11,sao_sebastiao,2
2020-04-11,taguatinga,6
2020-04-11,vicente_pires,1
2020-04-11,aguas_claras,6
2020-04-12,ceilandia,2
2020-04-12,cruzeiro,2
2020-04-12,gama,4
2020-04-12,guara,5
2020-04-12,itapoa,1
2020-04-12,jardim_botanico,2
2020-04-12,lago_norte,1
2020-04-12,lago_sul,3
2020-04-12,nucleo_bandeirante,1
2020-04-12,outros_estados,2
2020-04-12,paranoa,1
2020-04-12,park_way,1
2020-04-12,planaltina,3
2020-04-12,plano_piloto,3
2020-04-12,recanto_das_emas,2
2020-04-12,riacho_fundo,1
2020-04-12,riacho_fundo_ii,1
2020-04-12,scia,2
2020-04-12,samambaia,1
2020-04-12,santa_maria,2
2020-04-12,sistema_penitenciario,2
2020-04-12,sobradinho,1
2020-04-12,sudoeste_octogonal,1
2020-04-12,sao_sebastiao,2
2020-04-12,taguatinga,3
2020-04-12,aguas_claras,3
2020-04-13,ceilandia,10
2020-04-13,cruzeiro,1
2020-04-13,gama,3
2020-04-13,guara,6
2020-04-13,itapoa,1
2020-04-13,lago_sul,1
2020-04-13,nucleo_bandeirante,1
2020-04-13,outros_estados,3
2020-04-13,planaltina,2
2020-04-13,plano_piloto,9
2020-04-13,recanto_das_emas,3
2020-04-13,riacho_fundo,2
2020-04-13,scia,2
2020-04-13,sia,2
2020-04-13,samambaia,4
2020-04-13,santa_maria,5
2020-04-13,sistema_penitenciario,15
2020-04-13,sobradinho,2
2020-04-13,sudoeste_octogonal,3
2020-04-13,sao_sebastiao,4
2020-04-13,taguatinga,8
2020-04-13,aguas_claras,10
2020-04-14,arniqueira,1
2020-04-14,brazlandia,2
2020-04-14,candangolandia,1
2020-04-14,ceilandia,3
2020-04-14,gama,1
2020-04-14,guara,6
2020-04-14,itapoa,1
2020-04-14,jardim_botanico,2
2020-04-14,nucleo_bandeirante,2
2020-04-14,outros_estados,4
2020-04-14,paranoa,1
2020-04-14,planaltina,1
2020-04-14,plano_piloto,10
2020-04-14,por_do_sol,1
2020-04-14,recanto_das_emas,2
2020-04-14,samambaia,3
2020-04-14,santa_maria,2
2020-04-14,sistema_penitenciario,3
2020-04-14,sobradinho,3
2020-04-14,sao_sebastiao,1
2020-04-14,taguatinga,9
2020-04-14,vicente_pires,2
2020-04-14,aguas_claras,5
2020-04-15,brazlandia,2
2020-04-15,candangolandia,1
2020-04-15,ceilandia,6
2020-04-15,cruzeiro,1
2020-04-15,gama,2
2020-04-15,guara,3
2020-04-15,itapoa,2
2020-04-15,jardim_botanico,1
2020-04-15,lago_sul,1
2020-04-15,nucleo_bandeirante,3
2020-04-15,outros_estados,6
2020-04-15,paranoa,1
2020-04-15,planaltina,5
2020-04-15,plano_piloto,16
2020-04-15,recanto_das_emas,2
2020-04-15,riacho_fundo,3
2020-04-15,scia,3
2020-04-15,samambaia,7
2020-04-15,santa_maria,7
2020-04-15,sistema_penitenciario,28
2020-04-15,sobradinho,4
2020-04-15,sobradinho_ii,5
2020-04-15,sudoeste_octogonal,4
2020-04-15,sao_sebastiao,3
2020-04-15,taguatinga,4
2020-04-15,vicente_pires,1
2020-04-15,aguas_claras,11
2020-04-16,arniqueira,1
2020-04-16,candangolandia,1
2020-04-16,ceilandia,5
2020-04-16,cruzeiro,1
2020-04-16,gama,2
2020-04-16,guara,1
2020-04-16,lago_norte,1
2020-04-16,lago_sul,1
2020-04-16,nucleo_bandeirante,2
2020-04-16,outros_estados,2
2020-04-16,paranoa,1
2020-04-16,park_way,3
2020-04-16,planaltina,2
2020-04-16,plano_piloto,13
2020-04-16,recanto_das_emas,2
2020-04-16,riacho_fundo,1
2020-04-16,riacho_fundo_ii,1
2020-04-16,scia,3
2020-04-16,santa_maria,2
2020-04-16,sistema_penitenciario,6
2020-04-16,sobradinho,2
2020-04-16,sobradinho_ii,1
2020-04-16,sao_sebastiao,2
2020-04-16,taguatinga,3
2020-04-16,vicente_pires,1
2020-04-16,aguas_claras,5
2020-04-17,arniqueira,1
2020-04-17,brazlandia,1
2020-04-17,ceilandia,6
2020-04-17,cruzeiro,2
2020-04-17,guara,7
2020-04-17,jardim_botanico,3
2020-04-17,lago_sul,1
2020-04-17,nucleo_bandeirante,1
2020-04-17,outros_estados,7
2020-04-17,park_way,4
2020-04-17,planaltina,3
2020-04-17,plano_piloto,13
2020-04-17,recanto_das_emas,1
2020-04-17,riacho_fundo,4
2020-04-17,scia,1
2020-04-17,samambaia,2
2020-04-17,santa_maria,2
2020-04-17,sistema_penitenciario,25
2020-04-17,sobradinho,3
2020-04-17,sudoeste_octogonal,2
2020-04-17,sao_sebastiao,3
2020-04-17,taguatinga,6
2020-04-17,vicente_pires,2
2020-04-17,aguas_claras,8
2020-04-18,ceilandia,8
2020-04-18,cruzeiro,1
2020-04-18,gama,7
2020-04-18,guara,8
2020-04-18,itapoa,1
2020-04-18,jardim_botanico,1
2020-04-18,lago_norte,1
2020-04-18,lago_sul,5
2020-04-18,outros_estados,3
2020-04-18,park_way,1
2020-04-18,planaltina,5
2020-04-18,plano_piloto,5
2020-04-18,riacho_fundo,2
2020-04-18,samambaia,9
2020-04-18,santa_maria,3
2020-04-18,sistema_penitenciario,1
2020-04-18,sobradinho,1
2020-04-18,sudoeste_octogonal,2
2020-04-18,sao_sebastiao,4
2020-04-18,taguatinga,3
2020-04-18,vicente_pires,1
2020-04-18,aguas_claras,5
2020-04-19,ceilandia,7
2020-04-19,gama,2
2020-04-19,guara,4
2020-04-19,itapoa,1
2020-04-19,lago_sul,1
2020-04-19,outros_estados,8
2020-04-19,paranoa,1
2020-04-19,park_way,1
2020-04-19,planaltina,3
2020-04-19,plano_piloto,4
2020-04-19,recanto_das_emas,2
2020-04-19,riacho_fundo,1
2020-04-19,riacho_fundo_ii,1
2020-04-19,samambaia,4
2020-04-19,santa_maria,1
2020-04-19,sistema_penitenciario,8
2020-04-19,sobradinho_ii,1
2020-04-19,sao_sebastiao,7
2020-04-19,taguatinga,5
2020-04-19,vicente_pires,2
2020-04-19,aguas_claras,2
2020-04-20,brazlandia,3
2020-04-20,ceilandia,19
2020-04-20,cruzeiro,1
2020-04-20,gama,6
2020-04-20,guara,4
2020-04-20,itapoa,1
2020-04-20,lago_sul,3
2020-04-20,nucleo_bandeirante,3
2020-04-20,outros_estados,11
2020-04-20,paranoa,2
2020-04-20,park_way,2
2020-04-20,planaltina,5
2020-04-20,plano_piloto,13
2020-04-20,por_do_sol,2
2020-04-20,recanto_das_emas,6
2020-04-20,riacho_fundo,1
2020-04-20,scia,1
2020-04-20,samambaia,6
2020-04-20,santa_maria,7
2020-04-20,sistema_penitenciario,10
2020-04-20,sobradinho,7
2020-04-20,sobradinho_ii,1
2020-04-20,sudoeste_octogonal,7
2020-04-20,sao_sebastiao,4
2020-04-20,taguatinga,8
2020-04-20,vicente_pires,2
2020-04-20,aguas_claras,15
2020-04-21,arniqueira,1
2020-04-21,brazlandia,2
2020-04-21,ceilandia,8
2020-04-21,cruzeiro,1
2020-04-21,gama,3
2020-04-21,guara,7
2020-04-21,jardim_botanico,4
2020-04-21,outros_estados,3
2020-04-21,paranoa,1
2020-04-21,planaltina,9
2020-04-21,plano_piloto,10
2020-04-21,recanto_das_emas,5
2020-04-21,riacho_fundo,1
2020-04-21,scia,1
2020-04-21,samambaia,4
2020-04-21,santa_maria,4
2020-04-21,sistema_penitenciario,5
2020-04-21,sobradinho,2
2020-04-21,sobradinho_ii,1
2020-04-21,sudoeste_octogonal,1
2020-04-21,sao_sebastiao,1
2020-04-21,taguatinga,12
2020-04-21,aguas_claras,11
2020-04-22,brazlandia,5
2020-04-22,candangolandia,1
